virus,sequencer,error tolerance,faulty cells,tp,fp,fn
influenza,illumina,0,0,1000,0,0
influenza,roche,0,0,892,0,108
influenza,pacbio,0,0,563,0,437
lassa,illumina,0,0,1000,0,0
lassa,roche,0,0,919,0,81
lassa,pacbio,0,0,605,0,395
measles,illumina,0,0,1000,0,0
measles,roche,0,0,926,0,74
measles,pacbio,0,0,598,0,402
sars-cov-2,illumina,0,0,1000,0,0
sars-cov-2,roche,0,0,908,0,92
sars-cov-2,pacbio,0,0,610,0,390
rotavirus,illumina,0,0,1000,0,0
rotavirus,roche,0,0,910,0,90
rotavirus,pacbio,0,0,587,0,413
influenza,illumina,1,0,1000,0,0
influenza,roche,1,0,902,0,98
influenza,pacbio,1,0,968,1,31
lassa,illumina,1,0,1000,0,0
lassa,roche,1,0,928,0,72
lassa,pacbio,1,0,977,0,23
measles,illumina,1,0,1000,0,0
measles,roche,1,0,931,0,69
measles,pacbio,1,0,977,1,22
sars-cov-2,illumina,1,0,1000,0,0
sars-cov-2,roche,1,0,908,0,92
sars-cov-2,pacbio,1,0,976,0,24
rotavirus,illumina,1,0,1000,0,0
rotavirus,roche,1,0,920,0,80
rotavirus,pacbio,1,0,971,0,29
influenza,illumina,2,0,1000,0,0
influenza,roche,2,0,903,14,97
influenza,pacbio,2,0,988,14,0
lassa,illumina,2,0,1000,0,0
lassa,roche,2,0,929,1,71
lassa,pacbio,2,0,993,12,0
measles,illumina,2,0,1000,0,0
measles,roche,2,0,934,7,66
measles,pacbio,2,0,994,6,0
sars-cov-2,illumina,2,0,1000,0,0
sars-cov-2,roche,2,0,908,0,92
sars-cov-2,pacbio,2,0,999,2,0
rotavirus,illumina,2,0,1000,0,0
rotavirus,roche,2,0,924,0,76
rotavirus,pacbio,2,0,994,8,0
influenza,illumina,3,0,1000,0,0
influenza,roche,3,0,903,34,97
influenza,pacbio,3,0,831,187,0
lassa,illumina,3,0,1000,0,0
lassa,roche,3,0,928,2,71
lassa,pacbio,3,0,691,339,0
measles,illumina,3,0,1000,0,0
measles,roche,3,0,934,39,66
measles,pacbio,3,0,918,87,0
sars-cov-2,illumina,3,0,1000,0,0
sars-cov-2,roche,3,0,908,150,92
sars-cov-2,pacbio,3,0,1000,0,0
rotavirus,illumina,3,0,1000,0,0
rotavirus,roche,3,0,924,12,76
rotavirus,pacbio,3,0,893,119,0
influenza,illumina,4,0,988,1152,0
influenza,roche,4,0,901,970,97
influenza,pacbio,4,0,605,1479,0
lassa,illumina,4,0,965,1929,0
lassa,roche,4,0,906,640,71
lassa,pacbio,4,0,337,1833,0
measles,illumina,4,0,997,418,0
measles,roche,4,0,934,1244,66
measles,pacbio,4,0,917,539,0
sars-cov-2,illumina,4,0,995,1283,0
sars-cov-2,roche,4,0,907,1445,92
sars-cov-2,pacbio,4,0,891,1144,0
rotavirus,illumina,4,0,990,1200,0
rotavirus,roche,4,0,923,2958,76
rotavirus,pacbio,4,0,651,1255,0
influenza,illumina,5,0,1000,3675,0
influenza,roche,5,0,904,3002,96
influenza,pacbio,5,0,983,3672,0
lassa,illumina,5,0,996,3910,0
lassa,roche,5,0,928,2812,71
lassa,pacbio,5,0,932,3868,0
measles,illumina,5,0,1000,3431,0
measles,roche,5,0,934,3198,66
measles,pacbio,5,0,1000,3400,0
sars-cov-2,illumina,5,0,1000,3768,0
sars-cov-2,roche,5,0,908,3236,92
sars-cov-2,pacbio,5,0,1000,3724,0
rotavirus,illumina,5,0,1000,3583,0
rotavirus,roche,5,0,924,3686,76
rotavirus,pacbio,5,0,989,3451,0
influenza,illumina,0,4096,1000,0,0
influenza,roche,0,4096,892,0,108
influenza,pacbio,0,4096,563,0,437
lassa,illumina,0,4096,1000,0,0
lassa,roche,0,4096,919,0,81
lassa,pacbio,0,4096,603,0,397
measles,illumina,0,4096,1000,0,0
measles,roche,0,4096,926,0,74
measles,pacbio,0,4096,597,0,403
sars-cov-2,illumina,0,4096,1000,0,0
sars-cov-2,roche,0,4096,908,0,92
sars-cov-2,pacbio,0,4096,608,0,392
rotavirus,illumina,0,4096,1000,0,0
rotavirus,roche,0,4096,909,0,91
rotavirus,pacbio,0,4096,586,0,414
influenza,illumina,1,4096,1000,0,0
influenza,roche,1,4096,902,0,98
influenza,pacbio,1,4096,968,1,31
lassa,illumina,1,4096,1000,0,0
lassa,roche,1,4096,928,0,72
lassa,pacbio,1,4096,977,0,23
measles,illumina,1,4096,1000,0,0
measles,roche,1,4096,931,0,69
measles,pacbio,1,4096,977,1,22
sars-cov-2,illumina,1,4096,1000,0,0
sars-cov-2,roche,1,4096,908,0,92
sars-cov-2,pacbio,1,4096,976,0,24
rotavirus,illumina,1,4096,1000,0,0
rotavirus,roche,1,4096,920,0,80
rotavirus,pacbio,1,4096,971,0,29
influenza,illumina,2,4096,1000,0,0
influenza,roche,2,4096,903,14,97
influenza,pacbio,2,4096,988,13,0
lassa,illumina,2,4096,1000,0,0
lassa,roche,2,4096,929,1,71
lassa,pacbio,2,4096,993,12,0
measles,illumina,2,4096,1000,0,0
measles,roche,2,4096,934,7,66
measles,pacbio,2,4096,995,5,0
sars-cov-2,illumina,2,4096,1000,0,0
sars-cov-2,roche,2,4096,908,0,92
sars-cov-2,pacbio,2,4096,999,2,0
rotavirus,illumina,2,4096,1000,0,0
rotavirus,roche,2,4096,924,0,76
rotavirus,pacbio,2,4096,993,9,0
influenza,illumina,3,4096,1000,0,0
influenza,roche,3,4096,903,34,97
influenza,pacbio,3,4096,831,186,0
lassa,illumina,3,4096,1000,0,0
lassa,roche,3,4096,928,2,71
lassa,pacbio,3,4096,691,340,0
measles,illumina,3,4096,1000,0,0
measles,roche,3,4096,934,39,66
measles,pacbio,3,4096,918,87,0
sars-cov-2,illumina,3,4096,1000,0,0
sars-cov-2,roche,3,4096,908,150,92
sars-cov-2,pacbio,3,4096,1000,0,0
rotavirus,illumina,3,4096,1000,0,0
rotavirus,roche,3,4096,924,12,76
rotavirus,pacbio,3,4096,894,120,0
influenza,illumina,4,4096,988,1152,0
influenza,roche,4,4096,901,970,97
influenza,pacbio,4,4096,605,1478,0
lassa,illumina,4,4096,965,1929,0
lassa,roche,4,4096,906,640,71
lassa,pacbio,4,4096,337,1831,0
measles,illumina,4,4096,997,418,0
measles,roche,4,4096,934,1244,66
measles,pacbio,4,4096,918,539,0
sars-cov-2,illumina,4,4096,995,1282,0
sars-cov-2,roche,4,4096,907,1445,92
sars-cov-2,pacbio,4,4096,892,1143,0
rotavirus,illumina,4,4096,990,1197,0
rotavirus,roche,4,4096,923,2958,76
rotavirus,pacbio,4,4096,651,1255,0
influenza,illumina,5,4096,1000,3675,0
influenza,roche,5,4096,904,3002,96
influenza,pacbio,5,4096,983,3672,0
lassa,illumina,5,4096,996,3910,0
lassa,roche,5,4096,928,2812,71
lassa,pacbio,5,4096,932,3868,0
measles,illumina,5,4096,1000,3431,0
measles,roche,5,4096,934,3198,66
measles,pacbio,5,4096,1000,3400,0
sars-cov-2,illumina,5,4096,1000,3768,0
sars-cov-2,roche,5,4096,908,3236,92
sars-cov-2,pacbio,5,4096,1000,3724,0
rotavirus,illumina,5,4096,1000,3583,0
rotavirus,roche,5,4096,924,3686,76
rotavirus,pacbio,5,4096,989,3451,0
influenza,illumina,0,8192,1000,0,0
influenza,roche,0,8192,892,0,108
influenza,pacbio,0,8192,558,0,442
lassa,illumina,0,8192,1000,0,0
lassa,roche,0,8192,919,0,81
lassa,pacbio,0,8192,603,0,397
measles,illumina,0,8192,1000,0,0
measles,roche,0,8192,926,0,74
measles,pacbio,0,8192,594,0,406
sars-cov-2,illumina,0,8192,1000,0,0
sars-cov-2,roche,0,8192,908,0,92
sars-cov-2,pacbio,0,8192,607,0,393
rotavirus,illumina,0,8192,1000,0,0
rotavirus,roche,0,8192,910,0,90
rotavirus,pacbio,0,8192,577,0,423
influenza,illumina,1,8192,1000,0,0
influenza,roche,1,8192,902,0,98
influenza,pacbio,1,8192,968,1,31
lassa,illumina,1,8192,1000,0,0
lassa,roche,1,8192,928,0,72
lassa,pacbio,1,8192,977,0,23
measles,illumina,1,8192,1000,0,0
measles,roche,1,8192,931,0,69
measles,pacbio,1,8192,977,1,22
sars-cov-2,illumina,1,8192,1000,0,0
sars-cov-2,roche,1,8192,908,0,92
sars-cov-2,pacbio,1,8192,976,0,24
rotavirus,illumina,1,8192,1000,0,0
rotavirus,roche,1,8192,920,0,80
rotavirus,pacbio,1,8192,970,0,30
influenza,illumina,2,8192,1000,0,0
influenza,roche,2,8192,903,14,97
influenza,pacbio,2,8192,988,12,0
lassa,illumina,2,8192,1000,0,0
lassa,roche,2,8192,929,1,71
lassa,pacbio,2,8192,994,9,0
measles,illumina,2,8192,1000,0,0
measles,roche,2,8192,934,7,66
measles,pacbio,2,8192,994,6,0
sars-cov-2,illumina,2,8192,1000,0,0
sars-cov-2,roche,2,8192,908,0,92
sars-cov-2,pacbio,2,8192,999,1,0
rotavirus,illumina,2,8192,1000,0,0
rotavirus,roche,2,8192,924,0,76
rotavirus,pacbio,2,8192,993,9,0
influenza,illumina,3,8192,1000,0,0
